snapshot_id,department_id,department_name,branch_id,snapshot_datetime,occupied_beds,total_beds,occupancy_rate
190,10,Pediatrics,2,2025-08-11 08:00:00,2,24,8.33
191,11,Emergency,2,2025-08-11 08:00:00,1,50,2.0
192,12,General Medicine,2,2025-08-11 08:00:00,2,50,4.0
193,13,Cardiology,3,2025-08-11 08:00:00,8,27,29.63
194,14,Oncology,3,2025-08-11 08:00:00,7,14,50.0
195,15,Orthopedics,3,2025-08-11 08:00:00,3,27,11.11
196,16,Pediatrics,3,2025-08-11 08:00:00,6,21,28.57
197,17,Emergency,3,2025-08-11 08:00:00,4,45,8.89
198,18,General Medicine,3,2025-08-11 08:00:00,2,45,4.44
199,1,Cardiology,1,2025-08-12 08:00:00,7,37,18.92
200,2,Oncology,1,2025-08-12 08:00:00,9,20,45.0
201,3,Orthopedics,1,2025-08-12 08:00:00,3,37,8.11
202,4,Pediatrics,1,2025-08-12 08:00:00,6,30,20.0
203,5,Emergency,1,2025-08-12 08:00:00,1,62,1.61
204,6,General Medicine,1,2025-08-12 08:00:00,5,62,8.06
205,7,Cardiology,2,2025-08-12 08:00:00,8,30,26.67
206,8,Oncology,2,2025-08-12 08:00:00,6,16,37.5
207,9,Orthopedics,2,2025-08-12 08:00:00,3,30,10.0
208,10,Pediatrics,2,2025-08-12 08:00:00,2,24,8.33
209,11,Emergency,2,2025-08-12 08:00:00,2,50,4.0
210,12,General Medicine,2,2025-08-12 08:00:00,2,50,4.0
211,13,Cardiology,3,2025-08-12 08:00:00,7,27,25.93
212,14,Oncology,3,2025-08-12 08:00:00,6,14,42.86
213,15,Orthopedics,3,2025-08-12 08:00:00,2,27,7.41
214,16,Pediatrics,3,2025-08-12 08:00:00,5,21,23.81
215,17,Emergency,3,2025-08-12 08:00:00,1,45,2.22
216,18,General Medicine,3,2025-08-12 08:00:00,2,45,4.44
217,1,Cardiology,1,2025-08-13 08:00:00,6,37,16.22
218,2,Oncology,1,2025-08-13 08:00:00,10,20,50.0
219,3,Orthopedics,1,2025-08-13 08:00:00,4,37,10.81
220,4,Pediatrics,1,2025-08-13 08:00:00,6,30,20.0
221,5,Emergency,1,2025-08-13 08:00:00,2,62,3.23
222,6,General Medicine,1,2025-08-13 08:00:00,5,62,8.06
223,7,Cardiology,2,2025-08-13 08:00:00,7,30,23.33
224,8,Oncology,2,2025-08-13 08:00:00,5,16,31.25
225,9,Orthopedics,2,2025-08-13 08:00:00,4,30,13.33
226,10,Pediatrics,2,2025-08-13 08:00:00,2,24,8.33
227,11,Emergency,2,2025-08-13 08:00:00,1,50,2.0
228,12,General Medicine,2,2025-08-13 08:00:00,2,50,4.0
229,13,Cardiology,3,2025-08-13 08:00:00,10,27,37.04
230,14,Oncology,3,2025-08-13 08:00:00,6,14,42.86
231,15,Orthopedics,3,2025-08-13 08:00:00,3,27,11.11
232,16,Pediatrics,3,2025-08-13 08:00:00,5,21,23.81
233,17,Emergency,3,2025-08-13 08:00:00,3,45,6.67
234,18,General Medicine,3,2025-08-13 08:00:00,2,45,4.44
235,1,Cardiology,1,2025-08-14 08:00:00,7,37,18.92
236,2,Oncology,1,2025-08-14 08:00:00,12,20,60.0
237,3,Orthopedics,1,2025-08-14 08:00:00,2,37,5.41
238,4,Pediatrics,1,2025-08-14 08:00:00,5,30,16.67
239,5,Emergency,1,2025-08-14 08:00:00,2,62,3.23
240,6,General Medicine,1,2025-08-14 08:00:00,2,62,3.23
241,7,Cardiology,2,2025-08-14 08:00:00,6,30,20.0
242,8,Oncology,2,2025-08-14 08:00:00,6,16,37.5
243,9,Orthopedics,2,2025-08-14 08:00:00,5,30,16.67
244,10,Pediatrics,2,2025-08-14 08:00:00,2,24,8.33
245,11,Emergency,2,2025-08-14 08:00:00,1,50,2.0
246,12,General Medicine,2,2025-08-14 08:00:00,1,50,2.0
247,13,Cardiology,3,2025-08-14 08:00:00,10,27,37.04
248,14,Oncology,3,2025-08-14 08:00:00,6,14,42.86
249,15,Orthopedics,3,2025-08-14 08:00:00,3,27,11.11
250,16,Pediatrics,3,2025-08-14 08:00:00,5,21,23.81
251,17,Emergency,3,2025-08-14 08:00:00,1,45,2.22
252,18,General Medicine,3,2025-08-14 08:00:00,2,45,4.44
253,1,Cardiology,1,2025-08-15 08:00:00,9,37,24.32
254,2,Oncology,1,2025-08-15 08:00:00,12,20,60.0
255,3,Orthopedics,1,2025-08-15 08:00:00,3,37,8.11
256,4,Pediatrics,1,2025-08-15 08:00:00,3,30,10.0
257,5,Emergency,1,2025-08-15 08:00:00,2,62,3.23
258,6,General Medicine,1,2025-08-15 08:00:00,2,62,3.23
259,7,Cardiology,2,2025-08-15 08:00:00,5,30,16.67
260,8,Oncology,2,2025-08-15 08:00:00,5,16,31.25
261,9,Orthopedics,2,2025-08-15 08:00:00,4,30,13.33
262,10,Pediatrics,2,2025-08-15 08:00:00,1,24,4.17
263,11,Emergency,2,2025-08-15 08:00:00,0,50,0.0
264,12,General Medicine,2,2025-08-15 08:00:00,2,50,4.0
265,13,Cardiology,3,2025-08-15 08:00:00,10,27,37.04
266,14,Oncology,3,2025-08-15 08:00:00,9,14,64.29
267,15,Orthopedics,3,2025-08-15 08:00:00,3,27,11.11
268,16,Pediatrics,3,2025-08-15 08:00:00,5,21,23.81
269,17,Emergency,3,2025-08-15 08:00:00,1,45,2.22
270,18,General Medicine,3,2025-08-15 08:00:00,2,45,4.44
271,1,Cardiology,1,2025-08-16 08:00:00,10,37,27.03
272,2,Oncology,1,2025-08-16 08:00:00,13,20,65.0
273,3,Orthopedics,1,2025-08-16 08:00:00,3,37,8.11
274,4,Pediatrics,1,2025-08-16 08:00:00,7,30,23.33
275,5,Emergency,1,2025-08-16 08:00:00,1,62,1.61
276,6,General Medicine,1,2025-08-16 08:00:00,2,62,3.23
277,7,Cardiology,2,2025-08-16 08:00:00,6,30,20.0
278,8,Oncology,2,2025-08-16 08:00:00,6,16,37.5
279,9,Orthopedics,2,2025-08-16 08:00:00,3,30,10.0
280,10,Pediatrics,2,2025-08-16 08:00:00,4,24,16.67
281,11,Emergency,2,2025-08-16 08:00:00,1,50,2.0
282,12,General Medicine,2,2025-08-16 08:00:00,2,50,4.0
283,13,Cardiology,3,2025-08-16 08:00:00,8,27,29.63
284,14,Oncology,3,2025-08-16 08:00:00,7,14,50.0
285,15,Orthopedics,3,2025-08-16 08:00:00,4,27,14.81
286,16,Pediatrics,3,2025-08-16 08:00:00,4,21,19.05
287,17,Emergency,3,2025-08-16 08:00:00,1,45,2.22
288,18,General Medicine,3,2025-08-16 08:00:00,2,45,4.44
289,1,Cardiology,1,2025-08-17 08:00:00,12,37,32.43
290,2,Oncology,1,2025-08-17 08:00:00,11,20,55.0
291,3,Orthopedics,1,2025-08-17 08:00:00,3,37,8.11
292,4,Pediatrics,1,2025-08-17 08:00:00,6,30,20.0
293,5,Emergency,1,2025-08-17 08:00:00,0,62,0.0
294,6,General Medicine,1,2025-08-17 08:00:00,2,62,3.23
295,7,Cardiology,2,2025-08-17 08:00:00,8,30,26.67
296,8,Oncology,2,2025-08-17 08:00:00,5,16,31.25
297,9,Orthopedics,2,2025-08-17 08:00:00,4,30,13.33
298,10,Pediatrics,2,2025-08-17 08:00:00,4,24,16.67
299,11,Emergency,2,2025-08-17 08:00:00,3,50,6.0
300,12,General Medicine,2,2025-08-17 08:00:00,2,50,4.0
301,13,Cardiology,3,2025-08-17 08:00:00,8,27,29.63
302,14,Oncology,3,2025-08-17 08:00:00,8,14,57.14
303,15,Orthopedics,3,2025-08-17 08:00:00,2,27,7.41
304,16,Pediatrics,3,2025-08-17 08:00:00,6,21,28.57
305,17,Emergency,3,2025-08-17 08:00:00,1,45,2.22
306,18,General Medicine,3,2025-08-17 08:00:00,1,45,2.22
307,1,Cardiology,1,2025-08-18 08:00:00,12,37,32.43
308,2,Oncology,1,2025-08-18 08:00:00,12,20,60.0
309,3,Orthopedics,1,2025-08-18 08:00:00,4,37,10.81
310,4,Pediatrics,1,2025-08-18 08:00:00,2,30,6.67
311,5,Emergency,1,2025-08-18 08:00:00,2,62,3.23
312,6,General Medicine,1,2025-08-18 08:00:00,3,62,4.84
313,7,Cardiology,2,2025-08-18 08:00:00,7,30,23.33
314,8,Oncology,2,2025-08-18 08:00:00,5,16,31.25
315,9,Orthopedics,2,2025-08-18 08:00:00,5,30,16.67
316,10,Pediatrics,2,2025-08-18 08:00:00,3,24,12.5
317,11,Emergency,2,2025-08-18 08:00:00,2,50,4.0
318,12,General Medicine,2,2025-08-18 08:00:00,3,50,6.0
319,13,Cardiology,3,2025-08-18 08:00:00,4,27,14.81
320,14,Oncology,3,2025-08-18 08:00:00,7,14,50.0
321,15,Orthopedics,3,2025-08-18 08:00:00,2,27,7.41
322,16,Pediatrics,3,2025-08-18 08:00:00,5,21,23.81
323,17,Emergency,3,2025-08-18 08:00:00,0,45,0.0
324,18,General Medicine,3,2025-08-18 08:00:00,1,45,2.22
325,1,Cardiology,1,2025-08-19 08:00:00,11,37,29.73
326,2,Oncology,1,2025-08-19 08:00:00,15,20,75.0
327,3,Orthopedics,1,2025-08-19 08:00:00,3,37,8.11
328,4,Pediatrics,1,2025-08-19 08:00:00,2,30,6.67
329,5,Emergency,1,2025-08-19 08:00:00,3,62,4.84
330,6,General Medicine,1,2025-08-19 08:00:00,3,62,4.84
331,7,Cardiology,2,2025-08-19 08:00:00,7,30,23.33
332,8,Oncology,2,2025-08-19 08:00:00,5,16,31.25
333,9,Orthopedics,2,2025-08-19 08:00:00,5,30,16.67
334,10,Pediatrics,2,2025-08-19 08:00:00,2,24,8.33
335,11,Emergency,2,2025-08-19 08:00:00,3,50,6.0
336,12,General Medicine,2,2025-08-19 08:00:00,2,50,4.0
337,13,Cardiology,3,2025-08-19 08:00:00,6,27,22.22
338,14,Oncology,3,2025-08-19 08:00:00,6,14,42.86
339,15,Orthopedics,3,2025-08-19 08:00:00,1,27,3.7
340,16,Pediatrics,3,2025-08-19 08:00:00,5,21,23.81
341,17,Emergency,3,2025-08-19 08:00:00,2,45,4.44
342,18,General Medicine,3,2025-08-19 08:00:00,3,45,6.67
343,1,Cardiology,1,2025-08-20 08:00:00,11,37,29.73
344,2,Oncology,1,2025-08-20 08:00:00,15,20,75.0
345,3,Orthopedics,1,2025-08-20 08:00:00,5,37,13.51
346,4,Pediatrics,1,2025-08-20 08:00:00,2,30,6.67
347,5,Emergency,1,2025-08-20 08:00:00,2,62,3.23
348,6,General Medicine,1,2025-08-20 08:00:00,3,62,4.84
349,7,Cardiology,2,2025-08-20 08:00:00,7,30,23.33
350,8,Oncology,2,2025-08-20 08:00:00,4,16,25.0
351,9,Orthopedics,2,2025-08-20 08:00:00,5,30,16.67
352,10,Pediatrics,2,2025-08-20 08:00:00,1,24,4.17
353,11,Emergency,2,2025-08-20 08:00:00,3,50,6.0
354,12,General Medicine,2,2025-08-20 08:00:00,3,50,6.0
355,13,Cardiology,3,2025-08-20 08:00:00,7,27,25.93
356,14,Oncology,3,2025-08-20 08:00:00,7,14,50.0
357,15,Orthopedics,3,2025-08-20 08:00:00,4,27,14.81
358,16,Pediatrics,3,2025-08-20 08:00:00,6,21,28.57
359,17,Emergency,3,2025-08-20 08:00:00,3,45,6.67
360,18,General Medicine,3,2025-08-20 08:00:00,3,45,6.67
361,1,Cardiology,1,2025-08-21 08:00:00,8,37,21.62
362,2,Oncology,1,2025-08-21 08:00:00,12,20,60.0
363,3,Orthopedics,1,2025-08-21 08:00:00,6,37,16.22
364,4,Pediatrics,1,2025-08-21 08:00:00,1,30,3.33
365,5,Emergency,1,2025-08-21 08:00:00,2,62,3.23
366,6,General Medicine,1,2025-08-21 08:00:00,3,62,4.84
367,7,Cardiology,2,2025-08-21 08:00:00,7,30,23.33
368,8,Oncology,2,2025-08-21 08:00:00,5,16,31.25
369,9,Orthopedics,2,2025-08-21 08:00:00,3,30,10.0
370,10,Pediatrics,2,2025-08-21 08:00:00,4,24,16.67
371,11,Emergency,2,2025-08-21 08:00:00,3,50,6.0
372,12,General Medicine,2,2025-08-21 08:00:00,1,50,2.0
373,13,Cardiology,3,2025-08-21 08:00:00,6,27,22.22
374,14,Oncology,3,2025-08-21 08:00:00,6,14,42.86
375,15,Orthopedics,3,2025-08-21 08:00:00,5,27,18.52
376,16,Pediatrics,3,2025-08-21 08:00:00,7,21,33.33
377,17,Emergency,3,2025-08-21 08:00:00,2,45,4.44
378,18,General Medicine,3,2025-08-21 08:00:00,6,45,13.33
379,1,Cardiology,1,2025-08-22 08:00:00,7,37,18.92
380,2,Oncology,1,2025-08-22 08:00:00,10,20,50.0
381,3,Orthopedics,1,2025-08-22 08:00:00,7,37,18.92
382,4,Pediatrics,1,2025-08-22 08:00:00,2,30,6.67
383,5,Emergency,1,2025-08-22 08:00:00,1,62,1.61
384,6,General Medicine,1,2025-08-22 08:00:00,2,62,3.23
385,7,Cardiology,2,2025-08-22 08:00:00,9,30,30.0
386,8,Oncology,2,2025-08-22 08:00:00,7,16,43.75
387,9,Orthopedics,2,2025-08-22 08:00:00,3,30,10.0
388,10,Pediatrics,2,2025-08-22 08:00:00,4,24,16.67
389,11,Emergency,2,2025-08-22 08:00:00,3,50,6.0
390,12,General Medicine,2,2025-08-22 08:00:00,2,50,4.0
391,13,Cardiology,3,2025-08-22 08:00:00,9,27,33.33
392,14,Oncology,3,2025-08-22 08:00:00,6,14,42.86
393,15,Orthopedics,3,2025-08-22 08:00:00,8,27,29.63
394,16,Pediatrics,3,2025-08-22 08:00:00,6,21,28.57
395,17,Emergency,3,2025-08-22 08:00:00,0,45,0.0
396,18,General Medicine,3,2025-08-22 08:00:00,6,45,13.33
397,1,Cardiology,1,2025-08-23 08:00:00,9,37,24.32
398,2,Oncology,1,2025-08-23 08:00:00,11,20,55.0
399,3,Orthopedics,1,2025-08-23 08:00:00,5,37,13.51
400,4,Pediatrics,1,2025-08-23 08:00:00,3,30,10.0
401,5,Emergency,1,2025-08-23 08:00:00,2,62,3.23
402,6,General Medicine,1,2025-08-23 08:00:00,2,62,3.23
403,7,Cardiology,2,2025-08-23 08:00:00,7,30,23.33
404,8,Oncology,2,2025-08-23 08:00:00,7,16,43.75
405,9,Orthopedics,2,2025-08-23 08:00:00,4,30,13.33
406,10,Pediatrics,2,2025-08-23 08:00:00,4,24,16.67
407,11,Emergency,2,2025-08-23 08:00:00,3,50,6.0
408,12,General Medicine,2,2025-08-23 08:00:00,3,50,6.0
409,13,Cardiology,3,2025-08-23 08:00:00,9,27,33.33
410,14,Oncology,3,2025-08-23 08:00:00,6,14,42.86
411,15,Orthopedics,3,2025-08-23 08:00:00,9,27,33.33
412,16,Pediatrics,3,2025-08-23 08:00:00,5,21,23.81
413,17,Emergency,3,2025-08-23 08:00:00,1,45,2.22
414,18,General Medicine,3,2025-08-23 08:00:00,4,45,8.89
415,1,Cardiology,1,2025-08-24 08:00:00,6,37,16.22
416,2,Oncology,1,2025-08-24 08:00:00,10,20,50.0
417,3,Orthopedics,1,2025-08-24 08:00:00,5,37,13.51
418,4,Pediatrics,1,2025-08-24 08:00:00,5,30,16.67
419,5,Emergency,1,2025-08-24 08:00:00,1,62,1.61
420,6,General Medicine,1,2025-08-24 08:00:00,2,62,3.23
421,7,Cardiology,2,2025-08-24 08:00:00,8,30,26.67
